Date,Close/Last,Volume,Open,High,Low
11/13/2023,51.69,4524968,52.20,52.50,50.57
11/14/2023,53.43,3541284,53.00,53.50,52.28
11/15/2023,55.43,5821817,54.40,56.03,54.08
11/16/2023,54.23,3291412,55.51,55.6799,53.47
11/17/2023,54.99,3443898,55.11,55.74,54.26
11/20/2023,58.68,7808006,55.35,59.24,55.27
11/21/2023,58.66,5615415,58.00,58.90,56.43
11/22/2023,61.76,15119680,59.00,64.92,59.00
11/24/2023,63.88,6004929,61.50,64.20,61.41
11/27/2023,61.00,6681872,63.05,63.69,60.99
11/28/2023,61.92,4106892,60.84,62.68,60.79
11/29/2023,62.21,3642374,62.52,63.41,61.69
11/30/2023,61.50,4833273,62.58,63.50,60.91
12/01/2023,63.90,5446185,61.51,64.43,60.91
12/04/2023,61.93,5012171,63.90,63.90,60.80
12/05/2023,63.59,6666904,61.73,64.349,60.37
12/06/2023,61.06,5434419,64.35,64.69,60.89
12/07/2023,62.44,3139112,61.52,62.97,61.20
12/08/2023,67.23,18815930,62.44,67.4399,62.235
12/11/2023,64.89,7625495,67.26,67.26,64.29
12/12/2023,64.71,5711703,65.00,66.25,63.28
12/13/2023,65.61,7023954,65.41,66.50,62.75
12/14/2023,70.735,11835040,66.52,71.79,66.37
12/15/2023,71.03,7058443,70.50,71.89,69.29
12/18/2023,68.87,4744779,69.96,70.0915,68.02
12/19/2023,69.43,3899291,69.23,70.5499,68.81
12/20/2023,68.40,8177594,69.50,72.9897,68.38
12/21/2023,71.20,5407601,70.00,71.95,69.30
12/22/2023,72.29,5763862,72.00,73.4385,71.48
12/26/2023,73.41,4046596,73.27,74.00,71.76
12/27/2023,74.25,3802038,74.50,74.76,73.4101
12/28/2023,77.47,9176899,74.79,78.35,74.50
12/29/2023,75.145,11178330,78.36,78.66,74.60
01/02/2024,68.92,9770966,73.50,73.52,68.243
01/03/2024,67.91,7858160,67.07,68.50,65.11
01/04/2024,68.39,5757570,68.99,69.60,67.14
01/05/2024,67.05,7356637,69.12,70.39,66.52
01/08/2024,72.84,9303504,67.76,73.1846,67.52
01/09/2024,71.88,5982003,72.80,72.98,70.91
01/10/2024,70.77,7450639,73.00,74.38,69.86
01/11/2024,69.77,6396114,71.67,71.872,68.19
01/12/2024,70.00,4025998,70.85,70.91,69.01
01/16/2024,68.48,7090256,70.00,70.00,67.55
01/17/2024,69.86,7209106,68.00,69.96,66.66
01/18/2024,74.23,11287500,72.00,74.80,71.41
01/19/2024,78.58,9956491,75.07,78.9674,74.43
01/22/2024,77.11,7697443,78.58,79.94,76.50
01/23/2024,76.35,4052530,77.00,77.59,75.46
01/24/2024,75.74,6972177,77.20,77.6699,74.80
01/25/2024,73.91,8817139,76.49,79.65,73.26
01/26/2024,71.17,7077097,73.14,73.89,70.80
01/29/2024,72.93,4318120,72.00,72.95,71.20
01/30/2024,71.97,4056633,73.498,74.15,70.85
01/31/2024,70.67,5087257,70.66,72.54,69.62
02/01/2024,70.52,3476065,71.87,72.55,69.32
02/02/2024,71.00,4298876,71.10,71.95,70.00
02/05/2024,73.27,7258066,71.99,74.28,71.60
02/06/2024,72.98,6899507,75.00,75.45,71.80
02/07/2024,77.01,22802800,73.07,77.71,72.25
02/08/2024,113.89,106505700,94.41,126.585,94.00
02/09/2024,115.21,48096530,105.99,117.82,102.09
02/12/2024,148.97,111349700,120.16,164.00,118.69
02/13/2024,119.98,68563880,128.12,137.50,117.00
02/14/2024,126.40,42519550,133.81,134.84,121.02
02/15/2024,133.68,34996640,131.00,135.00,123.51
02/16/2024,128.34,26122330,129.50,135.98,123.05
02/20/2024,121.77,21117310,123.78,123.80,115.49
02/21/2024,123.39,22418080,117.76,125.4999,116.81
02/22/2024,128.53,29492400,132.87,138.50,128.51
02/23/2024,133.34,20317050,129.095,136.00,128.86
02/26/2024,146.20,26547870,139.00,149.92,138.1751
02/27/2024,137.95,17481270,144.905,147.33,137.00
02/28/2024,133.86,9682632,136.15,136.29,131.31
02/29/2024,141.04,10300020,136.28,141.22,135.45
03/01/2024,141.62,9856913,141.48,144.98,139.04
03/04/2024,138.01,14294990,145.39,148.4799,137.75
03/05/2024,134.07,9116025,135.50,136.37,130.00
03/06/2024,136.99,9063327,138.09,139.3369,133.2629
03/07/2024,140.85,14358580,140.00,146.54,138.81
03/08/2024,131.48,14132450,139.69,142.90,131.20
03/11/2024,126.74,10174790,126.60,130.7416,124.12
03/12/2024,129.50,18220620,125.00,129.99,121.3801
03/13/2024,131.27,9097646,129.00,132.70,125.80
03/14/2024,130.96,10070940,130.13,136.29,127.59
03/15/2024,126.97,8880494,128.71,134.20,126.12
03/18/2024,129.75,6216320,128.17,132.80,127.73
03/19/2024,124.59,8135365,125.50,127.10,121.52
03/20/2024,131.33,6861505,126.53,131.98,125.23
03/21/2024,133.60,7568797,134.70,137.00,132.0139
03/22/2024,134.15,6999592,133.81,136.10,132.50
03/25/2024,138.31,12928870,137.155,143.75,137.15
03/26/2024,127.96,21244450,141.10,145.00,126.91
03/27/2024,125.62,11317880,130.00,130.86,122.83
03/28/2024,124.99,7407193,125.68,128.32,124.16
04/01/2024,126.91,5011885,126.36,128.73,124.6406
04/02/2024,124.28,5042778,125.20,125.63,121.12
04/03/2024,125.31,3875999,123.00,125.9796,122.62
04/04/2024,122.01,5477260,126.50,127.98,121.82
04/05/2024,124.82,4537556,122.60,125.72,120.02
04/08/2024,129.25,6943866,124.82,130.50,123.39
04/09/2024,126.81,12997160,133.51,135.41,124.50
04/10/2024,125.18,4974491,124.99,127.60,123.895
04/11/2024,131.13,6139066,126.00,131.20,125.51
04/12/2024,126.33,4950851,128.99,130.3389,125.37
04/15/2024,122.32,5003304,126.20,126.87,120.95
04/16/2024,122.22,4071531,122.00,124.24,120.91
04/17/2024,107.56,19639230,121.87,122.6817,107.01
04/18/2024,104.92,11961200,106.32,107.2963,102.58
04/19/2024,87.19,29439000,100.00,103.01,85.61
04/22/2024,93.11,15199460,89.94,94.315,89.06
04/23/2024,96.04,11212390,97.32,98.37,95.05
04/24/2024,99.88,11697820,102.00,103.75,97.2401
04/25/2024,97.93,6140842,96.05,99.67,95.50
04/26/2024,101.95,5651662,101.40,102.30,98.22
04/29/2024,103.24,4009208,102.20,103.40,99.05
04/30/2024,101.21,3783680,103.02,105.1944,100.85
05/01/2024,95.29,6090454,99.98,100.60,95.24
05/02/2024,98.00,4117395,98.99,100.30,96.13
05/03/2024,101.70,5780156,101.62,104.36,100.4487
05/06/2024,106.98,7489247,103.82,107.92,103.595
05/07/2024,107.80,8187311,109.30,109.69,106.5404
05/08/2024,106.07,15211320,107.80,109.94,104.65
05/09/2024,103.59,29441150,99.27,106.90,97.76
05/10/2024,108.84,15281030,106.20,110.3723,106.20
05/13/2024,117.23,16402550,114.00,117.58,110.86
05/14/2024,116.65,8046116,115.82,117.41,114.35
05/15/2024,113.67,9544257,118.40,118.50,112.5163
05/16/2024,114.27,6446297,115.69,116.8746,113.89
05/17/2024,110.35,7523269,115.60,115.68,109.6101
05/20/2024,110.46,5260806,111.00,111.3299,108.69
05/21/2024,114.77,10468850,110.00,115.779,109.50
05/22/2024,112.43,8406909,115.01,117.3605,111.65
05/23/2024,112.53,8450553,117.00,117.33,110.38
05/24/2024,114.64,4735978,112.77,115.56,111.60
05/28/2024,124.94,16202680,115.455,125.98,115.32
05/29/2024,120.65,8166773,123.70,123.70,119.05
05/30/2024,120.73,6809687,121.80,123.5004,117.77
05/31/2024,120.52,9110420,119.92,123.88,116.01
06/03/2024,127.12,11447940,125.00,129.85,122.54
06/04/2024,125.86,6879787,126.875,127.67,122.89
06/05/2024,136.67,12612250,126.83,136.8499,126.72
06/06/2024,137.125,8874515,134.79,138.41,132.41
06/07/2024,136.57,6610104,136.93,140.97,135.31
06/10/2024,139.91,8883753,134.785,142.09,132.50
06/11/2024,143.92,11434770,139.08,147.50,139.00
06/12/2024,155.59,17284330,146.00,158.71,145.20
06/13/2024,158.05,15371940,157.335,161.49,150.67
06/14/2024,157.89,22260010,159.90,167.69,153.50
06/17/2024,160.29,12826930,160.17,162.70,153.6201
06/18/2024,174.13,22339060,160.03,177.31,159.32
06/20/2024,160.77,22162340,173.13,173.85,156.00
06/21/2024,160.30,21934970,156.562,162.20,151.3725
06/24/2024,151.07,9260941,156.87,157.77,150.60
06/25/2024,160.61,10333160,151.57,161.95,149.50
06/26/2024,164.72,11598300,161.63,166.80,159.51
06/27/2024,166.935,8980296,162.556,168.82,160.79
06/28/2024,163.62,7095948,167.25,170.88,162.33
07/01/2024,158.83,8387526,163.43,163.85,152.55
07/02/2024,163.46,5753481,156.85,163.6197,155.27
